t,psi
313.0,4.076360169686973e-10
313.5,3.9936354215758886e-10
314.0,3.9132844394537045e-10
314.5,3.836276077341512e-10
315.0,3.763432686563976e-10
315.5,3.6953635587012586e-10
316.0,3.6324810271324596e-10
316.5,3.575007318504166e-10
317.0,3.5229660644029e-10
317.5,3.476211336910951e-10
318.0,3.434453760298802e-10
318.5,3.3972629664295995e-10
319.0,3.3641012375189713e-10
319.5,3.3343611699252926e-10
320.0,3.307379154794099e-10
320.5,3.282473432617628e-10
321.0,3.258964903568232e-10
321.5,3.236195797985078e-10
322.0,3.2135604338188503e-10
322.5,3.1905247707426965e-10
323.0,3.166616778478289e-10
323.5,3.141457242843998e-10
324.0,3.1147758991659436e-10
324.5,3.086365618251625e-10
325.0,3.0561423552060446e-10
325.5,3.024089207379956e-10
326.0,2.990283038764337e-10
326.5,2.954867524379642e-10
327.0,2.918046653614376e-10
327.5,2.8800688586440545e-10
328.0,2.8412142414983585e-10
328.5,2.8018023427727516e-10
329.0,2.762133362537256e-10
329.5,2.722527806623478e-10
330.0,2.683278411170752e-10
330.5,2.64465638255484e-10
331.0,2.6069092124291665e-10
331.5,2.5702208447094204e-10
332.0,2.534773398737334e-10
332.5,2.500683038055016e-10
333.0,2.468020938779217e-10
333.5,2.4368083905105246e-10
334.0,2.4070370145357073e-10
334.5,2.378658416265662e-10
335.0,2.351591694921582e-10
335.5,2.325728705277471e-10
336.0,2.3009316381021995e-10
336.5,2.277064809783894e-10
337.0,2.2539718727696988e-10
337.5,2.2314911761988421e-10
338.0,2.20947059871595e-10
338.5,2.1877655318524336e-10
339.0,2.166243222548962e-10
339.5,2.1447789235618613e-10
340.0,2.1232812174255138e-10
340.5,2.101666197760844e-10
341.0,2.0798766754095076e-10
341.5,2.0578835701289897e-10
342.0,2.0356572920672904e-10
342.5,2.0132079294474226e-10
343.0,1.9905540664227825e-10
343.5,1.967729044229992e-10
344.0,1.9447840890305116e-10
344.5,1.9217734114435096e-10
345.0,1.8987659114563962e-10
345.5,1.8758256888685197e-10
346.0,1.853022959724684e-10
346.5,1.8304215661367648e-10
347.0,1.8080915300645306e-10
347.5,1.786080979376838e-10
348.0,1.7644392702932661e-10
348.5,1.7432107066037942e-10
349.0,1.722421025160383e-10
349.5,1.702091372343501e-10
350.0,1.6822402733957402e-10
350.5,1.6628589030362775e-10
351.0,1.6439410886792185e-10
351.5,1.6254762552839084e-10
352.0,1.6074338440813181e-10
352.5,1.589791817253665e-10
353.0,1.5725134456833228e-10
353.5,1.5555681817357278e-10
354.0,1.5389132591891464e-10
354.5,1.5225159592586402e-10
355.0,1.506340721864036e-10
355.5,1.4903567322446361e-10
356.0,1.4745285501791548e-10
356.5,1.4588304235443415e-10
357.0,1.4432335832931276e-10
357.5,1.4277226930094493e-10
358.0,1.412302599090246e-10
358.5,1.3969484653144403e-10
359.0,1.381665074278412e-10
359.5,1.366447388857596e-10
360.0,1.351296155494294e-10
360.5,1.3362317695387438e-10
361.0,1.321259244797369e-10
361.5,1.3063751027830396e-10
362.0,1.291615901273254e-10
362.5,1.276984619705904e-10
363.0,1.2624954988689144e-10
363.5,1.2481686488656842e-10
364.0,1.234008585328697e-10
364.5,1.220027826925012e-10
365.0,1.2062319015586907e-10
365.5,1.1926339853115518e-10
366.0,1.179233151115127e-10
366.5,1.1660348278600917e-10
367.0,1.1530316212955097e-10
367.5,1.1402382584135006e-10
368.0,1.1276454288673522e-10
368.5,1.1152415094343829e-10
369.0,1.1030158067951939e-10
369.5,1.0909757792370709e-10
370.0,1.0790955379614414e-10
370.5,1.0673774407694112e-10
371.0,1.0558089989809228e-10
371.5,1.0443823929611503e-10
372.0,1.0330918610822585e-10
372.5,1.0219189688135834e-10
373.0,1.0108622946182058e-10
373.5,9.999116849943217e-11
374.0,9.890639957653449e-11
374.5,9.78322779907258e-11
375.0,9.676818394119886e-11
375.5,9.571261671304506e-11
376.0,9.466662855656014e-11
376.5,9.362981732266287e-11
377.0,9.260210241271912e-11
377.5,9.158352209548225e-11
378.0,9.057440559121377e-11
378.5,8.957519486718477e-11
379.0,8.858566641297834e-11
379.5,8.760601304432574e-11
380.0,8.663636255134962e-11
380.5,8.567754687317931e-11
381.0,8.472980453436706e-11
381.5,8.37924295639901e-11
382.0,8.286598684295853e-11
382.5,8.195131903785958e-11
383.0,8.104697725105347e-11
383.5,8.015336929756491e-11
384.0,7.927103660924881e-11
384.5,7.839927290330731e-11
385.0,7.753778272234662e-11
385.5,7.668687424117379e-11
386.0,7.584618414404564e-11
386.5,7.501541751461605e-11
387.0,7.419405565688604e-11
387.5,7.338207413279694e-11
388.0,7.257940839754494e-11
388.5,7.178589019071448e-11
389.0,7.10001572935903e-11
389.5,7.022331265135703e-11
390.0,6.945420941743844e-11
390.5,6.869340108872832e-11
391.0,6.793931566633087e-11
391.5,6.719313675348853e-11
392.0,6.645454600507478e-11
392.5,6.572288597791709e-11
393.0,6.499836557192313e-11
393.5,6.42810087168038e-11
394.0,6.357060785398545e-11
394.5,6.28674971021076e-11
395.0,6.21714714778063e-11
395.5,6.14823061021584e-11
396.0,6.080029007938596e-11
396.5,6.012539863159386e-11
397.0,5.945768111905404e-11
397.5,5.879690016996601e-11
398.0,5.814351416217407e-11
398.5,5.7496879395238635e-11
399.0,5.6856644720265566e-11
399.5,5.622323518478574e-11
400.0,5.5596951720139666e-11
400.5,5.497771767828784e-11
401.0,5.4364654117076254e-11
401.5,5.3758968822927356e-11
402.0,5.3159381067395134e-11
402.5,5.256629045343819e-11
403.0,5.19796404956487e-11
403.5,5.139880107835827e-11
404.0,5.0823901642576106e-11
404.5,5.025540779343921e-11
405.0,4.969258392737053e-11
405.5,4.913594710822884e-11
406.0,4.8584910738942664e-11
406.5,4.803861529500329e-11
407.0,4.749846483659411e-11
407.5,4.6963584118992296e-11
408.0,4.6433964318674726e-11
408.5,4.590945235298283e-11
409.0,4.539068320453887e-11
409.5,4.487670052959871e-11
410.0,4.436817058364593e-11
410.5,4.3864209541772015e-11
411.0,4.336560686687347e-11
411.5,4.2871624064189355e-11
412.0,4.238287557148688e-11
412.5,4.1898725002958863e-11
413.0,4.141982008096392e-11
413.5,4.094527012504904e-11
414.0,4.047584034945879e-11
414.5,4.001079593110983e-11
415.0,3.95504980017305e-11
415.5,3.909478743461937e-11
416.0,3.8643820401908425e-11
416.5,3.819745454650336e-11
417.0,3.775537279924049e-11
417.5,3.731869142330583e-11
418.0,3.688539974070962e-11
418.5,3.645644005865703e-11
419.0,3.603169859028809e-11
419.5,3.5611800970620806e-11
420.0,3.519555008467046e-11
420.5,3.4783882794538366e-11
421.0,3.437631958132084e-11
421.5,3.397242768678955e-11
422.0,3.357260385623991e-11
422.5,3.3176293328780274e-11
423.0,3.278453863880574e-11
423.5,3.239618396187511e-11
424.0,3.201183362489603e-11
424.5,3.163059439531612e-11
425.0,3.12542393969804e-11
425.5,3.088130724789911e-11
426.0,3.051144708053788e-11
426.5,3.0145236224268093e-11
427.0,2.978275592520036e-11
427.5,2.942345716537597e-11
428.0,2.9067449658388457e-11
428.5,2.871562561415929e-11
429.0,2.8366565127075388e-11
429.5,2.8021758286138722e-11
430.0,2.7679615133687385e-11
430.5,2.734101422639311e-11
431.0,2.7005812273037756e-11
431.5,2.6673641149426832e-11
432.0,2.6344264091249336e-11
432.5,2.6018566898351197e-11
433.0,2.569521238224671e-11
433.5,2.5375873949832863e-11
434.0,2.5059654000227904e-11
434.5,2.4745985902553744e-11
435.0,2.443504981661101e-11
435.5,2.4126931350536416e-11
436.0,2.3822601985201045e-11
436.5,2.35206641730308e-11
437.0,2.3221452268306526e-11
437.5,2.2924903672173357e-11
438.0,2.2631424007086994e-11
438.5,2.234085694222777e-11
439.0,2.2053277374850313e-11
439.5,2.176842368902103e-11
440.0,2.1486123048725125e-11
440.5,2.1206072230718155e-11
441.0,2.092871210585993e-11
441.5,2.0653815639345566e-11
442.0,2.038154054041797e-11
442.5,2.011190491265921e-11
